205,	14.50,0.10
268	,14.87 ,0.10      
333	,15.22 ,0.10      
428	,16.76 ,0.10      
556	,17.19 ,0.10      
656	,16.29 ,0.11      
720	,16.42 ,0.12      
785	,16.54 ,0.12      
868	,17.88 ,0.12	      
